Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Decr2,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gnpda1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc27a1,Fatty acid oxidation,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc27a2,Bile acid synthesis,Fatty acid oxidation,Fatty acid synthesis,"Transport, extracellular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  
Slc27a5,Bile acid synthesis,Fatty acid oxidation,"Transport, endoplasmic reticular","Transport, extracellular","Transport, lysosomal","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  
Txnrd2,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vnn3,CoA catabolism,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g10,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc27a3,Fatty acid oxidation,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc27a4,Fatty acid oxidation,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a11,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcd2,"Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adh4,Bile acid synthesis,Glycolysis/gluconeogenesis,Leukotriene metabolism,Miscellaneous,Pyruvate metabolism,Tyrosine metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  
B3galt1,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galt2,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galnt1,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst4,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gcat,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mecr,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac5,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g2e,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g2f,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sgsh,Heparan sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asns,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tcirg1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g7,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gyg,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dguok,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a10,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptdss2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pign,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ip6k1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b6,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pdhx,Citric acid cycle,Glycolysis/gluconeogenesis,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abca8b,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcg5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abca3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc14a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcb11,Bile acid synthesis,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Naglu,Heparan sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5l,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Selenoi,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5o,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agpat3,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhrs4,Arachidonic acid metabolism,Eicosanoid metabolism,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco1b2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpk1,Thiamine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pmm1,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult4a1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde7b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a4,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3cg,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aass,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a9,Starch and sucrose metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hacd1,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Txnrd1,Methionine and cysteine metabolism,Miscellaneous,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp11a,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5c,Inositol phosphate metabolism,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  
Plpp2,Glycerophospholipid metabolism,Sphingolipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs6st1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs6st2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs6st3,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsl4,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gne,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a13,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neu3,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galns,Chondroitin sulfate degradation,Keratan sulfate degradation,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac6,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ctps,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ech1,Fatty acid oxidation,Fatty acid synthesis,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coq5,Ubiquinone synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agpat5,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Echdc2,Butanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc46a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acaa2,Bile acid synthesis,Fatty acid oxidation,Fatty acid synthesis,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  
Nit2,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc52a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ldhd,Glyoxylate and dicarboxylate metabolism,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cdipt,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtmr1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g6,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst3,Chondroitin synthesis,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Htatip2,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt2,Galactose metabolism,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt2,Blood group synthesis,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nudt5,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a10,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gal3st1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc40a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp3a41a,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Uevld,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Methionine and cysteine metabolism,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Pmm2,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh7,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gucy1b1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult2b1,Androgen and estrogen synthesis and metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galt4,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl1,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl2,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc23a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gnpnat1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nme6,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst2,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtmr7,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rfk,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppt2,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asah2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hpgds,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde3a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal6,Blood group synthesis,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Extl3,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp8b2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp8b1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs3st3b1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ctps2,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mpc1,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc13a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agpat1,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Impa1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigb,Phosphatidylinositol phosphate metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgam2,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp39a1,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgke,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car5b,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nagk,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigp,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hao2,"Glycine, serine, alanine, and threonine metabolism",Glyoxylate and dicarboxylate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prodh2,Arginine and proline metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Extl1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak3,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rhcg,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acpp,CoA catabolism,,NAD metabolism,Purine catabolism,Pyrimidine catabolism,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  
B4galt5,Keratan sulfate synthesis,O-glycan metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b12,Fatty acid synthesis,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptges3,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gltp,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ivd,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult1b1,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt4,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt6,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp3a25,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Bile acid synthesis,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  
Pfkp,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2d22,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Fatty acid oxidation,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  
Suclg1,C5-branched dibasic acid metabolism,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh18a1,Glyoxylate and dicarboxylate metabolism,Pyruvate metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fads2,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nme4,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sec11a,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sphk2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc15a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mlycd,Fatty acid oxidation,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigo,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tdo2,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Miox,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhodh,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh9a1,Arginine and proline metabolism,Beta-Alanine metabolism,Bile acid synthesis,Eicosanoid metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Lysine metabolism,Miscellaneous,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",Vitamin C metabolism
Chst5,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a14,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hacl1,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1a3,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Miscellaneous,Phenylalanine metabolism,Pyruvate metabolism,Tyrosine metabolism,Vitamin C metabolism,  ,  ,  ,  ,  
Pdxp,Vitamin B6 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dolpp1,N-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc16a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a20,Fatty acid oxidation,"Transport, endoplasmic reticular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  
Srd5a3,Androgen and estrogen synthesis and metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt3,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cltrn,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5j2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc15a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tk2,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hacd3,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rhbg,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Extl2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35b4,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst11,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco1c1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1a1,Fructose and mannose metabolism,Galactose metabolism,Glycerophospholipid metabolism,Glycolysis/gluconeogenesis,Miscellaneous,Pentose phosphate pathway,Pyruvate metabolism,Tyrosine metabolism,  ,  ,  ,  ,  
Tdh,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Treh,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hibadh,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Smpd3,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Moxd1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nampt,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst12,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Stard3,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst7,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acss2,Glycolysis/gluconeogenesis,Miscellaneous,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fads3,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gucy1a1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fn3k,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bco1,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc29a1,"Transport, extracellular","Transport, mitochondrial","Transport, nuclear",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp9,"Transport, extracellular","Transport, mitochondrial",Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptges,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4f14,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Eicosanoid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Inpp5e,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndst4,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ireb2,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpys,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Suv39h2,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lpin2,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lpin3,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bhmt2,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5d,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb5,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdhc,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cndp2,Beta-Alanine metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b14,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa9,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7b,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1f,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcr10,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgls,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acer3,Exchange/demand reaction,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pycrl,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acyp1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb9,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Msmo1,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1g2,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alg5,N-glycan metabolism,N-glycan synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sec11c,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1g1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1c1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
