mets,mets_name,genes,rxns,subsystems
leuktrA4[c],Leukotriene A4,236149,GLUt2m,"Transport, mitochondrial"
leuktrA4[e],Leukotriene A4,236293,GMPR,Nucleotide interconversion
HC02201[c],S-Glutathionyl-Ethacrynic-Acid,236539,r2098,"Transport, extracellular"
HC02201[e],S-Glutathionyl-Ethacrynic-Acid,236899,FBA2,Fructose and mannose metabolism
aicar[c],5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamide,237523,SMS13,Glycerophospholipid metabolism
M01724[m],Docosanoylcarnitine,237625,r2108,"Transport, extracellular"
docoscoa[m],Docosanoyl Coenzyme A,237823,FVSCOAitx,Drug metabolism
3hpcoa[m],3-Hydroxypropanoyl Coenzyme A,237831,HMR_0255,Fatty acid synthesis
gd1a_hs[c],N-Acetylneuraminosyl-D-Galactosyl-N-Acetyl-D-Galactosaminyl-(N-Acetylneuraminosyl)-D-Galactosyl-D-Glucosylceramide Dianion,237928,SMS5,Glycerophospholipid metabolism
gm1b_hs[c],Gm1B,237940,HMR_0324,Fatty acid oxidation
acac[m],Acetoacetate,238011,TETDECAETH,Glycerophospholipid metabolism
hmgcoa[m],Hydroxymethylglutaryl Coenzyme A,238023,MI145PK,Inositol phosphate metabolism
ach[c],Acetylcholine,238024,TKT2,Pentose phosphate pathway
pe203_hs[c],"1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3)",23827,R_group_phosphotase_1,Miscellaneous
dcmp[n],Deoxycytidylic Acid,23831,HMR_2293,Fatty acid synthesis
dcdp[n],Deoxycytidine-5-Diphosphate,238384,r2438,"Transport, mitochondrial"
dctp[n],Deoxycytidine-5-Triphosphate,238505,HCO3_NAt,"Transport, extracellular"
M01080[m],"5Beta-Cholestane-3Alpha,7Alpha,24-Triol",23887,PTPATim,CoA synthesis
M01079[m],"5Beta-Cholestane-3Alpha,7Alpha,24,26-Tetrol",238871,r1255,Fatty acid oxidation
2hb[c],2-Hydroxybutyrate,23900,EX_C02712_e,Exchange/demand reaction
2hb[e],2-Hydroxybutyrate,23908,RE0565C,Fatty acid synthesis
adp[x],Adenosine Diphosphate,239122,PGLer,Pentose phosphate pathway
taur[c],Taurine,23917,PI3P5K,Inositol phosphate metabolism
taur[e],Taurine,23918,DES21,Sphingolipid metabolism
sphmyln18123_hs[c],"Sm (D18:1/23:0), Sphingomyelin",23923,HMR_3073,Fatty acid oxidation
mal__L[c],(S)-Malate,239273,HMR_2963,Fatty acid synthesis
mal__L[m],(S)-Malate,23945,SPHMYLN181201_hs_ATPt,"Transport, extracellular"
tsul[m],Thiosulfate,239559,C12DCACT,Fatty acid oxidation
tsul[c],Thiosulfate,23956,RNDR3,Nucleotide interconversion
13dpg[c],3-Phospho-D-Glyceroyl Phosphate,23959,HMR_2356,Fatty acid synthesis
homoval[e],Homovanillate,239606,r0363,Aminosugar metabolism
tethex3[r],"6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoic Acid",23971,HMR_2219,Fatty acid synthesis
tethex3coa[r],"Tetracosa-6,9,12,15,18,21-All-Cis-Hexaenoyl Coenzyme A",23972,r0739,Bile acid synthesis
Rtotal2coa[c],R Total 2 Coenzyme A,239827,FACOAL204,Fatty acid oxidation
alpa_hs[c],Lysophosphatidic Acid,23984,PGLc,Pentose phosphate pathway
phaccoa[m],Phenylacetyl Coenzyme A,23985,HMR_4079,Beta-Alanine metabolism
3octdece1crn[c],3-Hydroxy-Octadecenoyl Carnitine,23986,FACOAE1836Z9Z12Z,Fatty acid oxidation
vacccrn[m],Octadecenoylcarnitine(7),240215,CE2537ATP,"Transport, extracellular"
vacccoa[m],11Z-Octadecenoyl Coenzyme A,240332,HMR_1927,Steroid metabolism
tetpent3[r],"9Z,12Z,15Z,18Z,21Z-Tetracosapentaenoic Acid",24059,AHCi,Methionine and cysteine metabolism
M01482[r],"Cholesterol-Ester-9,12,15,18,21-Tetra",24060,HCO3Em,Miscellaneous
cholcoas[m],"(25S)-3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",240752,EX_HC02161_e,Exchange/demand reaction
mlthf[e],"5,10-Methylenetetrahydrofolate",241159,METAT,Methionine and cysteine metabolism
dlnlcgcoa[c],Dihomo-Gamma-Linolenyl Coenzyme A,241391,HMR_3706,Cholesterol metabolism
CE4845[c],"3-Oxo-Docosa-Cis,Cis,Cis-10,13,16-Trienoyl Coenzyme A",241447,HMR_3453,Fatty acid synthesis
docoscoa[x],Docosanoyl Coenzyme A,241489,PCHOLMYR_HSPLA2,Glycerophospholipid metabolism
CE2253[x],3-Oxotetracosanoyl Coenzyme A,241612,CARN140t_m,"Transport, mitochondrial"
pail45p_hs[c],"Phosphatidylinositol 4,5-Bisphosphate",242202,HMR_2602,Fatty acid oxidation
M00862[c],"3-Oxo-Docosa-13,16,19-All-Cis-Trienoyl Coenzyme A",242285,HMR_2983,Fatty acid synthesis
peamn[c],2-Phenylethanaminium,242341,NTD4,Pyrimidine catabolism
pacald[c],Phenylacetaldehyde,242585,PGSr,Eicosanoid metabolism
pedh203_hs[c],"1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",242607,HMR_0233,Fatty acid synthesis
cdp[n],Cytidine-5-DIphosphate,243078,EX_lipoate_e,Exchange/demand reaction
nh4[x],Ammonium,243085,CYTK9,Nucleotide interconversion
aacoa[x],Acetoacetyl Coenzyme A,243328,HMR_3115,Fatty acid oxidation
M00044[c],(2E)-Heneicosenoyl Coenzyme A,243537,HMR_3225,Fatty acid oxidation
T_antigen[g],T-Antigen (Core 1),243616,LCAT57e,Cholesterol metabolism
core2[g],Core 2,243755,r2514,"Transport, endoplasmic reticular"
pcholn24_hs[e],"1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24",245650,NADPPPS,NAD metabolism
pcholn24_hs[c],"1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24",245847,HMR_6755,Phenylalanine metabolism
peplys[c],Peptidyl-L-Lysine,246049,PPA,Oxidative phosphorylation
M00213[c],Protein N6-Methyl-L-Lysine,246221,HACD1x,Tryptophan metabolism
nad[r],Nicotinamide Adenine Dinucleotide,246277,HMR_1630,"Transport, mitochondrial"
nadh[r],Nicotinamide Adenine Dinucleotide - Reduced,246696,PE14_HSABCt,"Transport, extracellular"
leuktrB4woh[r],W-Hydroxyl Leukotriene B4,246787,HMR_2484,Fatty acid synthesis
CE2053[r],20-Oxo-Leukotriene B4,257635,EX_malthp_e,Exchange/demand reaction
CE2053[m],20-Oxo-Leukotriene B4,26357,LCAT21e,Cholesterol metabolism
leuktrB4wcooh[m],W-Carboxy Leukotriene B4,26363,C12DCTD,Fatty acid oxidation
doco13ecoa[c],13-Docosenoyl Coenzyme A,26378,HMR_6647,Vitamin A metabolism
doco13ac[e],13-Docosenoate,26384,HMR_1761,Bile acid synthesis
CE4803[m],"3-Oxo-4(R),8-Dimethyl-Nonanoyl Coenzyme A",26457,DHCRMtg,"Transport, golgi apparatus"
CE4797[m],"2(R),6-Dimethyl-Heptanoyl Coenzyme A",26458,HMR_2217,Fatty acid synthesis
lac__D[c],(R)-Lactate,26459,RE0935E,Starch and sucrose metabolism
lald__D[c],(R)-Lactaldehyde,26462,PCHOLP_hs,Glycerophospholipid metabolism
cmp[n],Cytidine 5-Monophosphate,26464,HMR_3640,Cholesterol metabolism
cys__L[e],L-Cysteine,26565,DOPABMO_1,Tyrosine metabolism
ptdca[c],Pentadecanoic Acid,26568,CDSm,Glycerophospholipid metabolism
ptdcacoa[c],Pentadecanoyl Coenzyme A,26569,HEX1,Glycolysis/gluconeogenesis
CE4795[m],"2-Trans-Cis,Cis,Cis,Cis-4,8,11,14-Eicosapentaenoyl Coenzyme A",266645,RE3110C,Fatty acid oxidation
CE5116[m],"Trans-3-Cis-8,11,14-Eicosatetraenoyl Coenzyme A",266744,HMR_2296,Fatty acid synthesis
acrn[c],O-Acetylcarnitine,268510,PCHOLN24_HSPLA2,Glycerophospholipid metabolism
CE5155[r],Docosenoyl Coenzyme A,268512,G14T5g,Keratan sulfate synthesis
M01462[r],Cholest-5-En-3B-Yl (13Z-Docosenoate),268656,SERDGLYexR,"Transport, extracellular"
creat[m],Creatine,26874,EX_steeth_e,Exchange/demand reaction
triodthy[e],"3,3,5-Triiodo-L-Thyronine",268756,r1447,Fatty acid oxidation
triodthy[c],"3,3,5-Triiodo-L-Thyronine",26876,EX_HC01440_e,Exchange/demand reaction
10fthf7glu[c],10-Formyltetrahydrofolate-[Glu](7),26877,4MOPt2im,"Transport, mitochondrial"
10fthf7glu[l],10-Formyltetrahydrofolate-[Glu](7),26878,r1807,"Transport, extracellular"
ttdcrn[c],Tetradecenoylcarnitine(5),268782,TMNDNCCPT2,Fatty acid oxidation
M00129[c],9E-Tetradecenoyl Coenzyme A,26879,HMR_0329,"Transport, extracellular"
dcsptn1crn[c],"4Z,7Z,10Z,13Z,16Z-Docosapentaenoylcarnitine",268860,HMR_2581,Fatty acid synthesis
dcsptn1crn[m],"4Z,7Z,10Z,13Z,16Z-Docosapentaenoylcarnitine",26887,HMR_2344,Fatty acid synthesis
lxser[g],Gal-Xyl-L-Ser (Protein),269060,HMR_2620,Fatty acid oxidation
tetpent6coa[c],"Tetracosa-6,9,12,15,18-All-Cis-Pentaenoyl Coenzyme A",26912,MEVK1x,Cholesterol metabolism
minohp[c],Myo-Inositol Hexakisphosphate,269180,PTDCACRNt,Fatty acid oxidation
minohp[n],Myo-Inositol Hexakisphosphate,26922,r2090,"Transport, extracellular"
peole_hs[e],1-Oleoylglycerophosphoethanolamine (Delta 9),269346,r1892,"Transport, extracellular"
M00122[c],"8Z,11Z-Eicosadienoylcarnitine",269378,HPDECEtm,"Transport, mitochondrial"
CE4792[m],3-Oxo-Cis-8-Tetradecenoyl Coenzyme A,26938,GGH_10FTHF6GLUl,Folate metabolism
CE4794[m],Cis-6-Dodecenoyl Coenzyme A,269437,DEOXFVStev,Drug metabolism
CE6234[c],Prostaglandin H1,269614,NAt3_1,"Transport, extracellular"
CE6232[c],Prostaglandin G1,269615,LCAT12e,Cholesterol metabolism
M00753[m],"3Alpha,7Alpha,24-Trihydroxy-5Beta-Cholestan-26-Al",26970,FACOAL160,Fatty acid oxidation
CE5154[m],"Trans,Cis-2,13-Docosadienoyl Coenzyme A",26971,LNS14DMr,Cholesterol metabolism
CE5153[m],3(S)-Hydroxy-13Cis-Docosenoyl Coenzyme A,269823,HMR_3240,Fatty acid oxidation
Ndmelys[c],"Protein N6,N6-Dimethyl-L-Lysine",269941,r1989,"Transport, extracellular"
Ntmelys[c],"Protein N6,N6,N6-Trimethyl-L-Lysine",269951,r2081,"Transport, extracellular"
etha[c],Ethanolamine,270076,HMR_2350,Fatty acid synthesis
HC02051[c],Phosphatidate-Ld-Pe-Pool,270198,DURIPP,Nucleotide interconversion
M00044[m],(2E)-Heneicosenoyl Coenzyme A,27053,PVSATPtu,Drug metabolism
M00778[m],3-Hydroxyheneicosanoyl Coenzyme A,27060,HMR_0672,Glycerophospholipid metabolism
4mptnl[m],4-Methylpentanal,270685,HMR_1305,Eicosanoid metabolism
gt1a_hs[c],Gt1A,271424,RE3086X,Fatty acid oxidation
dpcoa[c],Dephospho Coenzyme A,271639,HMR_6584,Inositol phosphate metabolism
tdcoa[m],Myristoyl Coenzyme A,271786,HMR_2733,Fatty acid oxidation
HC01412[m],(2E)-Tetradecenoyl Coenzyme A,27222,HMR_3739,Cholesterol metabolism
5thf[l],Pentaglutamyl Folate (Thf),27226,HMR_3170,Fatty acid oxidation
6thf[l],Hexaglutamyl Folate (Thf),272411,HMR_2342,Fatty acid synthesis
ser__L[m],L-Serine,272428,LPAMtm,"Transport, mitochondrial"
pcholn261_hs[c],Lysopc A C26:1 (Delta 5),27357,GTHOr,Glutamate metabolism
co2[r],Carbon Dioxide,27369,CE6247t,"Transport, extracellular"
dec24dicoa[m],"2,4-Decadienoyl Coenzyme A",27376,r2091,"Transport, extracellular"
oxa[c],Oxalate,27388,TRPt,"Transport, extracellular"
glx[c],Glyoxylate,27399,NDP3ex,Nucleotide interconversion
2hatvacid[c],2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid,27402,HMR_3631,Cholesterol metabolism
2hatvacid[e],2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid,27404,HMR_3637,Cholesterol metabolism
glygn2[c],"Glycogen, Structure 2 (Glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",27409,FAOXC16DCC14DCx,Fatty acid oxidation
dxtrn[c],"Phosphorylase-Limit Dextrin (Glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})",27410,RE3163C,Fatty acid oxidation
pcholar_hs[e],1-Arachidonoyl-Glycero-3-Phosphocholine,27411,r2126,"Transport, extracellular"
atvacid[e],atorvastatin-acid,27413,S6T18g,Keratan sulfate synthesis
atvacid[c],atorvastatin-acid,27416,HMR_0811,Glycosphingolipid metabolism
lineth[e],Linoleoyl Ethanolamide,27425,HMR_2980,Fatty acid synthesis
trideceth[e],Tridecanoyl Thanolamide (C13:0),277973,HMR_0204,Fatty acid synthesis
mthgxl[c],Methylglyoxal,28042,GLCNACT1g,Chondroitin synthesis
acetol[c],Hydroxyacetone,280645,CYTK5n,Nucleotide interconversion
asp__L[c],L-Aspartate,28080,HMR_2691,"Transport, mitochondrial"
dcamp[c],"N6-(1,2-Dicarboxyethyl)-Adenosine Monophosphate",28169,FAEL204,Fatty acid synthesis
fum[c],Fumarate,28200,HMR_2347,Fatty acid synthesis
pcrn[c],O-Propanoylcarnitine,28253,HMR_3057,Fatty acid oxidation
pcrn[m],O-Propanoylcarnitine,29807,2HCO3_NAt,"Transport, extracellular"
3hpvstet[c],3-S-hydroxy-pravastatin-tetranor,29859,SPHMYLN1825_hs_ATPt,"Transport, extracellular"
3hpvstet[e],3-S-hydroxy-pravastatin-tetranor,29863,r1765,"Transport, extracellular"
hyptaur[c],Hypotaurine,30805,ME2m,Pyruvate metabolism
atp[g],Adenosine Triphosphate,30955,HMR_3723,Cholesterol metabolism
adp[g],Adenosine Diphosphate,30956,CYTK7,Nucleotide interconversion
pail5p_hs[g],1-Phosphatidyl-1D-Myo-Inositol 5-Phosphate,30962,HMR_9667,"Transport, golgi apparatus"
pail_hs[g],1-Phosphatidyl-1D-Myo-Inositol,30963,r2100,"Transport, extracellular"
fol[c],Folate,319415,OPAH,Glutathione metabolism
fol[e],Folate,319446,RE3346M,Bile acid synthesis
acgam6p[c],N-Acetyl-D-Glucosamine 6-Phosphate,319518,HMR_3687,Cholesterol metabolism
M00887[m],3-Oxononadecanoyl Coenzyme A,319554,r0113,Aminosugar metabolism
nwharg[c],N-(Omega)-Hydroxyarginine,319800,r2132,"Transport, extracellular"
lnlncgcoa[m],Gamma-Linolenoyl Coenzyme A,319848,HMR_1752,"Transport, mitochondrial"
CE4793[m],3-Oxo-Dihomo-Gama-Linolenoyl Coenzyme A,319945,CARN1829Z12Zt_m,"Transport, mitochondrial"
CE2442[m],"3Z,7Z,10Z-Hexadecatrienoyl Coenzyme A",320011,PCHOLN19_HSABCt,"Transport, extracellular"
CE2441[m],"2E,4Z,7Z,10Z-Hexadecatetraenoyl Coenzyme A",320127,RE3430C_1,Eicosanoid metabolism
3ohodcoa[x],3-Oxooctadecanoyl Coenzyme A,320207,PNTOt5_1,"Transport, extracellular"
pmtcoa[x],Palmitoyl Coenzyme A (N-C16:0 Coenzyme A),320208,HMR_0830,Glycosphingolipid metabolism
trdox[c],Oxidized Thioredoxin,320404,PIter,"Transport, endoplasmic reticular"
trdrd[c],Reduced Thioredoxin,320452,G14T3g,Keratan sulfate synthesis
CE2250[c],3-Oxodocosanoyl Coenzyme A,320581,HGNTOR,Tyrosine metabolism
CE2246[c],3-Hydroxydocosanoyl Coenzyme A,320634,ALDD2xm,Glycolysis/gluconeogenesis
udpglcur[c],Uridine-5-Diphosphate-Glucuronate,320635,RE3170C,Fatty acid oxidation
dopa4glcur[c],Dopamine-4-O-Glucuronide,320685,HMR_3174,Fatty acid oxidation
gly[m],Glycine,320707,S6T1g,Keratan sulfate synthesis
pheacgly[m],Phenylacetylglycine,320718,HMR_3220,Fatty acid oxidation
f1a[l],F1Alpha,320940,HCO3Ee,Miscellaneous
h[n],Proton,320951,AG13T1g,Keratan sulfate synthesis
utp[n],Uridine-5-TrIphosphate,320981,UMPK2n,Nucleotide interconversion
xu1p__D[c],D-Xylulose 1-Phosphate,320997,HMR_1740,Bile acid synthesis
xylu__D[c],D-Xylulose,327655,PCHOLOLE_HSABCt,"Transport, extracellular"
dlnlcgcoa[r],Dihomo-Gamma-Linolenyl Coenzyme A,327951,NTD12,Nucleotide interconversion
M01490[r],"Cholest-5-En-3Beta-Yl (8Z,11Z,14Z-Eicosatrienoate)",328035,RDH3,Vitamin A metabolism
lnlncacoa[m],Alpha-Linolenoyl Coenzyme A,328779,FA160COAabcp_1,"Transport, peroxisomal"
lipoate[c],Lipoate,328845,GAL3ST12,Sphingolipid metabolism
dhlam[c],Dihydrolipoamide,329502,HMR_3684,Cholesterol metabolism
e4hglu[m],Erythro-4-Hydroxy-L-Glutamate,329506,S6TASE24ly,Keratan sulfate degradation
4h2oglt[m],4-Hydroxy-2-Oxoglutarate,330064,r2106,"Transport, extracellular"
hs_pre2[g],"Heparan Sulfate, Precursor 2",330406,FAOXC61x,Fatty acid oxidation
hs_pre3[g],GlcNac-Glca-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),330671,PCHOLN183_HSPLA2,Glycerophospholipid metabolism
pailar_hs[c],1-Arachidonoylglycerophosphoinositol,330836,CDIPTr,Glycerophospholipid metabolism
M03131[e],V3(Neuac)2-Gb5Cer ((Gal)3 (GalNAc)1 (Glc)1 (Neu5Ac)2 (Cer)1),330962,SK_cmpglna_c,
hdcoa[m],Palmitoleyl Coenzyme A,331487,r0743,Bile acid synthesis
7dhchsterol[r],"Cholesta-5,7-Dien-3Beta-Ol",333182,HMR_1532,N-glycan metabolism
M02107[m],Heptanoyl Coenzyme A,333424,CYTK12,Nucleotide interconversion
M00889[m],3-Oxononanoyl Coenzyme A,338366,HMR_0261,"Transport, extracellular"
tettet6coa[r],"(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl Coenzyme A",338375,G6Pter,"Transport, endoplasmic reticular"
M01483[r],"Cholesterol-Ester-9,12,15,18-Tetraco",338403,HMR_2267,Fatty acid synthesis
pe203_hs[e],"1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3)",353169,KAT180_m,Fatty acid oxidation
ipdp[c],Isopentenyl Diphosphate,353371,AG13T3g,Keratan sulfate synthesis
dmpp[c],Dimethylallyl Diphosphate,380660,EX_34dhoxmand_e,Exchange/demand reaction
sphs1p[e],Sphingosine 1-Phosphate,380921,FAEL184,Fatty acid synthesis
stcoa[c],Stearoyl Coenzyme A (N-C18:0 Coenzyme A),381022,SCP3x,Bile acid synthesis
ocdca[c],Octadecanoate (N-C18:0),381290,HMR_3003,Fatty acid synthesis
HC00342[m],Cis-Aconitate,381694,LNELDCCRNt,Fatty acid oxidation
HC00342[c],Cis-Aconitate,381925,ACACT9p,Fatty acid oxidation
oxa[m],Oxalate,382985,HMR_3424,Fatty acid oxidation
cgly[e],L-Cysteinylglycine,394430,r1763,"Transport, extracellular"
cgly[c],L-Cysteinylglycine,394432,r1254,Fatty acid oxidation
acnamp[c],N-Acetylneuraminate 9-Phosphate,394433,r1669,"Transport, extracellular"
lac__D[e],(R)-Lactate,394434,r0686,Arginine and proline metabolism
hs_pre6[g],Glca-(GlcNac-Glca)2-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),394435,HMR_6408,"Transport, mitochondrial"
gd1b_hs[l],Gd1B,394436,r0741,Bile acid synthesis
sphmyln18122_hs[e],"Sm (D18:1/22:0), Sphingomyelin",407785,NAGA2ly,Keratan sulfate degradation
sphmyln18116_hs[c],"Sm (D18:1/16:0), Sphingomyelin",432530,HMR_3178,Fatty acid oxidation
sphmyln18116_hs[e],"Sm (D18:1/16:0), Sphingomyelin",433022,42A12BOOX,Tyrosine metabolism
gcald[c],Glycolaldehyde,433182,HMR_3407,Fatty acid oxidation
clpndcoa[c],"Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A",433256,EX_HC02213_e,Exchange/demand reaction
CE4821[c],"2-Trans-7,10,13,16,19-All-Cis-Docosahexaenoyl Coenzyme A",433323,HMR_3398,Fatty acid oxidation
udpg[r],Uridine-5-Diphosphate-Glucose,434203,HMR_3713,Cholesterol metabolism
CE4841[c],"3-Oxoeicosa-Cis,Cis-11,14-Dienoyl Coenzyme A",434264,DGAT,Triacylglycerol synthesis
aps[c],5-Adenylyl Sulfate,434437,RE0575C,Fatty acid synthesis
leuktrB4wcooh[r],W-Carboxy Leukotriene B4,434674,RNDR1,Nucleotide interconversion
M01729[c],Dodecanoylcarnitine,435818,HMR_3626,Cholesterol metabolism
M01729[m],Dodecanoylcarnitine,436008,PCRNtm,Fatty acid oxidation
sebcoa[c],Sebacoyl Coenzyme A,50493,r1262,Fatty acid oxidation
sebacid[c],Sebacicacid,50770,HMR_2343,Fatty acid synthesis
M01236[r],9Z-Eicosenoyl Coenzyme A,50773,ACACt2,"Transport, extracellular"
M02638[c],Octadecenoylcarnitine(11),50784,HMR_3241,Fatty acid oxidation
M02638[m],Octadecenoylcarnitine(11),50785,HMR_3667,Cholesterol metabolism
cit[e],Citrate,50786,r2434,"Transport, mitochondrial"
ttdceacoa[c],Tetradecenoyl Coenzyme A (N-C14:1),50787,PCHOLN281_HSPLA2,Glycerophospholipid metabolism
strdnccrn[r],"6Z,9Z,12Z,15Z-Octadecatetraenoylcarnitine",50790,LCAT40e,Cholesterol metabolism
lnlncg[c],Gamma-Linolenate,50798,3MOXTYROX,Tyrosine metabolism
adrncoa[c],Adrenoyl Coenzyme A,50799,LCAT50e,Cholesterol metabolism
CE4834[c],"3-Oxo-Tetracosa-9,12,15,18-All-Cis-Tetraenoyl Coenzyme A",50877,PI4P5K,Glycerophospholipid metabolism
uri[c],Uridine,50917,DCIm,Fatty acid oxidation
ak2lgchol_hs[e],1-Alkyl 2-Lysoglycerol 3-Phosphocholine,50934,DCSPTN1CPT1,Fatty acid oxidation
paf_hs[e],1-Alkyl 2-Acteylglycerol 3-Phosphocholine,50935,HMR_3741,Cholesterol metabolism
CE2253[c],3-Oxotetracosanoyl Coenzyme A,51797,HMR_0849,Glycosphingolipid metabolism
docoscoa[c],Docosanoyl Coenzyme A,51798,UGLCNACtg,"Transport, golgi apparatus"
ksii_core4_pre4[g],"Keratan Sulfate Ii Biosynthesis, Precursor 4",52123,NTD7e,Nucleotide interconversion
ksii_core4_pre5[g],"Keratan Sulfate Ii Biosynthesis, Precursor 5",52466,FAOXC11BRC9BRx,Fatty acid oxidation
M01077[c],"5Beta-Cholestan-3Alpha,7Alpha,12Alpha,24(S)-Tetrol",52538,HMR_1126,Leukotriene metabolism
M01077[m],"5Beta-Cholestan-3Alpha,7Alpha,12Alpha,24(S)-Tetrol",52633,EX_tetpent3_e,Exchange/demand reaction
1p3h5c[m],L-1-Pyrroline-3-Hydroxy-5-Carboxylate,52710,r1252,Fatty acid oxidation
4hpro_LT[m],Trans-4-Hydroxy-L-Proline,52815,LCAT14e,Cholesterol metabolism
elaidcrn[c],Elaidic carnitine,52858,ARACHETH,Glycerophospholipid metabolism
hdcoa[r],Palmitoleyl Coenzyme A,53332,HMR_2741,"Transport, mitochondrial"
hdcecrn[r],Palmitoleoyl-Carnitine,53357,HMR_2667,"Transport, mitochondrial"
M01474[r],"Cholesterol-Ester-6,9-Octa",53374,PELINL_HSABCt,"Transport, extracellular"
Rtotal[c],R Total,53415,NDPK8,Nucleotide interconversion
dlnlcg[r],Dihomo-Gamma-Linolenate,53418,SCP21x,"Transport, peroxisomal"
sphmyln18121_hs[e],"Sm (D18:1/21:0), Sphingomyelin",53625,RE3174C,Fatty acid oxidation
M02745[r],5Z-Tetradecenoic Acid,53881,AKGt4_3,"Transport, extracellular"
M01141[r],5Z-Tetradecenoyl Coenzyme A,53893,ACOAO8p,Fatty acid oxidation
HC02026[r],Cholesterol-Ester-Gamma-Lin,53896,C3STDH1Pr,Cholesterol metabolism
Rtotalcoa[c],R Total Coenzyme A,53897,HMR_1307,Eicosanoid metabolism
glyc3p[c],Glycerol 3-Phosphate,53945,PE2LINL_HSABCt,"Transport, extracellular"
mev__R[c],(R)-Mevalonate,54122,HMR_2973,Fatty acid synthesis
5pmev[c],(R)-5-Phosphonatomevalonate,54150,r1171,Miscellaneous
ptdcacoa[m],Pentadecanoyl Coenzyme A,54195,A_MANASEly,N-glycan degradation
M00061[m],(2E)-Pentadecenoyl Coenzyme A,54200,PCHOLLINL_HSPLA2,Glycerophospholipid metabolism
pgp_hs[c],Phosphatidyl Glycerol Phosphate,54218,SALMCOM2,Tyrosine metabolism
docteteth[e],"Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16)",54325,CYSTA,Methionine and cysteine metabolism
eicostetcrn[m],"8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine",54326,DOPA3GLCURt,"Transport, extracellular"
eicostetcoa[m],"(8Z,11Z,14Z,17Z)-Eicosatetraenoyl Coenzyme A",54338,HMR_3668,Cholesterol metabolism
retinol_cis_11[c],11-Cis-Retinol,54342,GGH_5THFl,Folate metabolism
retinal_11_cis[c],11-Cis-Retinal,54369,NTD10,Nucleotide interconversion
pcholet_hs[e],"1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",54371,3HPVSCOAitx,Drug metabolism
pcholet_hs[c],"1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",54384,SUCCOAPET,Fatty acid oxidation
CE5944[c],"10,11-Dihydro-12-Oxo-Ltb4",54391,FAOXC81C61x,Fatty acid oxidation
CE4988[c],"10,11-Dihydro-12-Epi-Leukotriene B4",54397,BETALDHx,"Glycine, serine, alanine, and threonine metabolism"
for[m],Formate,54403,CORE3GTg,O-glycan metabolism
acrn[x],O-Acetylcarnitine,54405,HMR_0268,Fatty acid oxidation
gd1b_hs[c],Gd1B,54447,FAEL183,Fatty acid synthesis
nicrns[c],Nicotinate D-Ribonucleoside,54486,ACOADH160_m,Fatty acid oxidation
nicrnt[c],Nicotinate D-Ribonucleotide,545975,ADNtl,"Transport, lysosomal"
pcholn226_hs[e],"1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6)",54611,P5CR,Arginine and proline metabolism
glyald[c],D-Glyceraldehyde,54616,Uritl,"Transport, lysosomal"
glyc__R[c],D-Glycerate,54667,DHCRMter,"Transport, endoplasmic reticular"
glucys[c],Gamma-L-Glutamyl-L-Cysteine,54670,r1747,"Transport, extracellular"
frdp[r],Farnesyl Diphosphate,54710,NEU23,Sphingolipid metabolism
peplys[e],Peptidyl-L-Lysine,55936,ADSL2r,Purine synthesis
HC02022[r],Cholest-5-En-3Beta-Yl Octadecanoate,55951,HMR_1756,Bile acid synthesis
